"Reference","Value","Footprint","JLCPCB Part #"
"C1,C25","10u","Capacitor_SMD:C_0805_2012Metric","C15850"
"C2,C9,C12,C14,C22","4.7u","Capacitor_SMD:C_0603_1608Metric","C1705"
"C3,C6,C7,C10,C13,C16,C17,C18,C19,C20,C21,C23,C24,C26,C27","100n","Capacitor_SMD:C_0402_1005Metric","C1525"
"C4","22u","Capacitor_SMD:C_0805_2012Metric","C29277"
"C5","0.3p","Capacitor_SMD:C_0402_1005Metric","C880415"
"C8","0.8p","Capacitor_SMD:C_0402_1005Metric","C76915"
"C11,C15","10p","Capacitor_SMD:C_0402_1005Metric","C161145"
"D1","LED_RGBA","Tempting_Footprint_Libraries:AAA3528LSEEZGKQBKS","C5547384"
"FLT1","DLF162500LT-5028A1","Tempting_Footprint_Libraries:DLF162500LT-5028A1","C531364"
"J1","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","C434812"
"J2","Conn_01x07_Socket","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"J4","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"L1","2.7n","Inductor_SMD:L_0402_1005Metric","C77108"
"L2","10u","Inductor_SMD:L_0805_2012Metric","C98030"
"L3","10n","Inductor_SMD:L_0402_1005Metric","C76760"
"R1,R6,R7","10k","Resistor_SMD:R_0402_1005Metric","C25744"
"R2","750R","Resistor_SMD:R_0402_1005Metric","C25132"
"R3,R4","500R","Resistor_SMD:R_0402_1005Metric","C4125"
"R5,R8","56k","Resistor_SMD:R_0402_1005Metric","C25796"
"R9,R10","5.1k","Resistor_SMD:R_0402_1005Metric","C25905"
"SW1,SW2","SPST","Tempting_Footprint_Libraries:2-1825910-7","C513492"
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"U2","SCD41-D-R2","Sensor:Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm","C3659362"
"U3","STM32WB55CGUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","C404023"
"U4","DPS368","Tempting_Footprint_Libraries:DPS368","C3232508"
"U5","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","C7519"
"X1","32M","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","C1986260"
"X2","32.768k","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","C528982"
